2019-10-21 10:18:10,272 - tardis_report | DEBUG : 166 - user_clocked_in BEFORE: False
2019-10-21 12:00:25,411 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 12:00:25,411 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 12:00:25,665 - tardis_report | DEBUG : 198 - LUNCH HAS STARTED: 2019-10-21 11:59:25.666000
2019-10-21 12:04:25,177 - tardis_report | INFO : 259 - End the lunch timer
2019-10-21 12:04:25,177 - tardis_report | DEBUG : 261 - lunch start: 2019-10-21 11:59:25.666000
2019-10-21 12:04:25,177 - tardis_report | DEBUG : 262 - lunch end  : 2019-10-21 12:04:25.177000
2019-10-21 12:04:25,177 - tardis_report | DEBUG : 264 - 0:04:59.511000
2019-10-21 12:04:25,177 - tardis_report | DEBUG : 265 - 299
2019-10-21 12:21:57,512 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 12:21:57,512 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 12:21:57,753 - tardis_report | DEBUG : 198 - LUNCH HAS STARTED: 2019-10-21 12:20:57.754000
2019-10-21 12:41:04,678 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 12:41:04,678 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 12:41:04,917 - tardis_report | DEBUG : 198 - LUNCH HAS STARTED: 2019-10-21 12:40:04.917000
2019-10-21 12:42:52,635 - tardis_report | INFO : 259 - End the lunch timer
2019-10-21 12:42:52,635 - tardis_report | DEBUG : 261 - lunch start: 2019-10-21 12:40:04.917000
2019-10-21 12:42:52,635 - tardis_report | DEBUG : 262 - lunch end  : 2019-10-21 12:42:52.636000
2019-10-21 12:42:52,635 - tardis_report | DEBUG : 264 - 0:02:47.719000
2019-10-21 12:42:52,635 - tardis_report | DEBUG : 265 - 167
2019-10-21 12:44:50,388 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 12:44:50,388 - tardis_report | INFO : 190 - Getting the most recent timesheet...
2019-10-21 12:44:50,598 - tardis_report | DEBUG : 198 - LUNCH HAS STARTED: 2019-10-21 12:43:50.598000
2019-10-21 12:46:05,615 - tardis_report | INFO : 259 - End the lunch timer
2019-10-21 12:46:05,615 - tardis_report | DEBUG : 261 - lunch start: 2019-10-21 12:43:50.598000
2019-10-21 12:46:05,615 - tardis_report | DEBUG : 262 - lunch end  : 2019-10-21 12:46:05.615000
2019-10-21 12:46:05,615 - tardis_report | DEBUG : 264 - 0:02:15.017000
2019-10-21 12:46:05,615 - tardis_report | DEBUG : 265 - 135
2019-10-21 12:49:44,069 - tardis_report | INFO : 189 - Start the Lunch Timer
2019-10-21 12:49:44,069 - tardis_report | INFO : 190 - Getting the most recent timesheet...
